iter	Passed	Remaining
0	2	2491
1	4	2352
2	7	2359
3	9	2288
4	11	2235
5	13	2188
6	15	2147
7	17	2121
8	19	2126
9	21	2131
10	23	2112
11	25	2130
12	27	2120
13	29	2104
14	31	2094
15	34	2102
16	36	2107
17	38	2111
18	40	2102
19	42	2089
20	44	2077
21	46	2068
22	48	2058
23	50	2053
24	52	2062
25	54	2058
26	56	2049
27	58	2044
28	60	2030
29	62	2030
30	64	2029
31	66	2026
32	68	2019
33	71	2020
34	73	2018
35	75	2014
36	77	2009
37	79	2002
38	81	1999
39	82	1989
40	84	1985
41	86	1983
42	88	1978
43	91	1982
44	93	1979
45	95	1975
46	97	1974
47	99	1974
48	101	1973
49	103	1970
50	105	1966
51	107	1963
52	109	1958
53	111	1957
54	113	1954
55	115	1952
56	117	1949
57	120	1949
58	121	1935
59	123	1931
60	125	1927
61	127	1928
62	129	1929
63	131	1926
64	133	1924
65	135	1923
66	137	1921
67	139	1917
68	142	1916
69	144	1915
70	146	1911
71	148	1912
72	150	1908
73	152	1905
74	154	1902
75	156	1898
76	158	1897
77	160	1895
78	162	1892
79	164	1888
80	166	1887
81	168	1884
82	170	1882
83	172	1881
84	174	1879
85	176	1878
86	178	1878
87	181	1875
88	182	1872
89	184	1870
90	186	1867
91	189	1867
92	191	1867
93	193	1866
94	195	1864
95	197	1862
96	199	1860
97	201	1851
98	203	1854
99	206	1856
100	208	1855
101	210	1850
102	212	1849
103	214	1848
104	216	1846
105	218	1846
106	221	1845
107	223	1842
108	225	1839
109	227	1836
110	228	1833
111	230	1831
112	233	1834
113	235	1832
114	237	1829
115	239	1826
116	241	1823
117	243	1820
118	245	1817
119	247	1816
120	250	1816
121	252	1813
122	253	1811
123	255	1808
124	257	1805
125	260	1803
126	262	1801
127	264	1799
128	266	1797
129	267	1793
130	270	1791
131	272	1788
132	274	1786
133	276	1783
134	278	1782
135	280	1780
136	282	1778
137	284	1775
138	286	1772
139	288	1770
140	290	1767
141	292	1764
142	293	1761
143	296	1760
144	298	1757
145	300	1754
146	301	1752
147	303	1749
148	305	1746
149	307	1744
150	309	1741
151	311	1739
152	313	1738
153	316	1736
154	318	1735
155	319	1729
156	321	1727
157	323	1725
158	326	1725
159	328	1722
160	330	1720
161	332	1718
162	334	1715
163	336	1713
164	338	1710
165	340	1708
166	342	1707
167	344	1704
168	345	1700
169	347	1698
170	349	1696
171	352	1694
172	354	1692
173	356	1690
174	358	1689
175	360	1688
176	362	1687
177	364	1685
178	367	1683
